id,file,effectTime,aoeTime,objectType,color,x,y,radius,damage,hangTime,effectIndex,aoeIndex
log1,aoelog 1.txt,1624734624.1540074,1624734625.6076179,22047,-65536,17.544176,16.574291,3.0,280,1.4536104202270508,0,5
log1,aoelog 1.txt,1624734650.484439,1624734652.020703,1620,-65536,1353.546387,1070.581177,4.0,150,1.536264181137085,1,5
log1,aoelog 1.txt,1624734714.852315,1624734716.2842393,3422,-65536,1469.404541,1294.005127,4.0,100,1.4319243431091309,11,5
log1,aoelog 1.txt,1624734715.8478298,1624734717.2748506,3422,-65536,1469.45459,1282.769897,4.0,100,1.427020788192749,12,5
log1,aoelog 1.txt,1624734722.646663,1624734724.0890903,3422,-65536,1459.435791,1264.785645,4.0,100,1.442427396774292,14,6
log1,aoelog 1.txt,1624734726.4185605,1624734727.860029,3422,-65536,1445.894165,1271.089111,4.0,100,1.4414684772491455,15,6
log1,aoelog 3.txt,1624737446.7718086,1624737448.1827343,1605,-65536,1218.241577,866.999695,3.0,60,1.4109256267547607,16,6
log1,aoelog 3.txt,1624737560.5052235,1624737561.9146054,1620,-65536,1285.149902,966.484924,4.0,150,1.4093818664550781,17,6
log1,aoelog 3.txt,1624737563.708781,1624737565.1138117,1620,-65536,1279.262573,961.849121,4.0,150,1.4050307273864746,18,6
log1,aoelog 3.txt,1624737579.5235467,1624737580.9378657,1620,-65536,1296.156006,1027.234619,4.0,150,1.4143190383911133,19,6
log1,aoelog 3.txt,1624737583.930218,1624737585.341002,1620,-65536,1301.580688,1055.129883,4.0,150,1.4107840061187744,20,6
log1,aoelog 3.txt,1624737584.9320488,1624737586.3503602,1620,-65536,1301.580688,1058.57666,4.0,150,1.418311357498169,21,6
log1,aoelog 3.txt,1624737590.503335,1624737591.9285007,1620,-65536,1295.285767,1058.009033,4.0,150,1.4251656532287598,23,6
log1,aoelog 3.txt,1624737603.7720704,1624737605.1826606,1620,-65536,1289.71228,1056.713745,4.0,150,1.4105901718139648,24,6
log1,aoelog 3.txt,1624737605.3751383,1624737606.836427,1620,-65536,1297.651001,1069.842285,4.0,150,1.4612886905670166,25,6
log1,aoelog 3.txt,1624737615.6954696,1624737617.1155326,1620,-65536,1291.948853,1035.856201,4.0,150,1.4200630187988281,26,6
log1,aoelog 3.txt,1624737620.3000784,1624737621.7097282,1620,-65536,1300.432739,1033.905151,4.0,150,1.4096498489379883,27,6
log1,aoelog 3.txt,1624737974.001465,1624737975.483441,24860,-65536,70.736031,26.154568,7.0,125,1.48197603225708,30,7
log1,aoelog 3.txt,1624737991.6669757,1624737993.1849673,24860,-65536,59.996906,20.384314,7.0,125,1.517991542816162,34,7
